steering,throttle,brake,speed
-0.13699384,0.0,0.0,14.09562
-0.20449776600000003,0.0,0.0,5.105177
-0.2,0.0,0.0,2.06901
-0.0,0.0,0.0,11.44895
0.2,0.0,0.0,6.899334
-0.2885472,0.0,0.0,8.022083
-0.2,0.0,0.0,8.75211
-0.2,0.0,0.0,12.17794
0.2,0.0,0.0,8.781582
0.2,0.0,0.0,8.101293
0.2,0.0,0.0,6.533849
0.2,0.0,0.0,4.989483
0.2,0.8267362,0.0,12.31583
0.2,0.1931008,0.0,7.010219
0.3351619,0.02116895,0.0,5.295708
0.2,0.4888258,0.0,13.45425
0.0,0.0,0.0,9.88652
0.0,0.9582871,0.0,19.63772
-0.2,0.0,1.0,5.264345
0.2,0.0,0.0,13.94605
-0.2,0.4470481,0.0,14.22695
-0.2,0.1359597,0.0,9.55321
0.2,0.0,0.0,10.31445
0.2,0.0,0.0,7.312245
-0.2,0.0,0.0,11.81668
0.3332872,0.0,0.0,7.760675
-0.2,1.0,0.0,30.18991
0.2,0.0,0.0,10.20883
-0.2,0.0,0.0,8.918693
0.2,0.0,0.0,25.49238
-0.2,0.0,0.0,11.28162
0.0,0.0,0.0,11.11927
-0.2,0.0,0.0,14.16275
-0.2,0.0,0.0,8.390219
0.2,0.08593512,0.0,11.04509
0.2,0.0,0.0,14.14752
-0.2,1.0,0.0,21.57726
0.07728875,0.0,0.3980552,21.91295
-1.2,0.0,0.0,8.395751
0.2,0.5800959,0.0,16.10787
0.28080669999999996,0.0,0.0,9.886525
0.2,0.0,0.0,16.23665
-0.0,0.0337919,0.0,14.07871
-0.2921439,0.0,0.0,9.98364
0.2,0.0,0.0,10.31577
0.2,0.0,0.0,9.820384
-0.2007601,0.1508878,0.0,10.50201
0.2,0.0,0.0,18.40137
1.0,0.0,0.0,7.468049
0.053101800000000005,0.0,0.0,7.343717
0.0,0.0,0.0,10.78935
-0.2,0.0,0.0,11.80171
0.2,0.0,0.0,16.5694
0.2,0.0,0.0,9.034201
0.2,0.9582871,0.0,19.63772
0.08534880000000002,0.0,0.0,8.067761
-0.2,0.0,0.0,14.1844
0.2,0.0,0.0,9.064192
0.22911162000000002,0.0,0.0,9.071133
-0.2,0.07989872,0.0,15.01677
-0.2,0.4133159,0.0,14.94192
0.2,0.0,0.0,5.925389
-0.1450049,0.0,0.0,11.74698
0.2,0.0,0.0,15.68651
0.2,0.0,0.0,8.415038e-05
0.2,0.0,0.0,10.31735
-0.2,0.0,0.0,17.42039
-0.2,0.0,0.0,21.60324
-0.2,0.0,0.0,14.87263
-0.0909198,0.0,0.0,7.209965
-0.2,0.0,0.0,13.92556
-0.2,0.0,0.0,11.74041
-0.2,0.491755,0.0,17.35043
-0.23039658000000002,0.0,0.0,7.510333
0.2,0.14511,0.0,9.39391
0.2,0.0,0.0,7.25425
-0.2,0.0,0.0,8.700088
-0.2,0.1970583,0.0,14.82653
0.2,0.0,0.0,27.56017
-0.2,0.1496429,0.0,7.584575
-0.2,0.0,0.0,10.37494
0.0,0.0,0.0,16.36251
-0.2,0.0,0.0,8.891499
0.2,0.0,0.0,13.25842
0.6546411000000001,0.0,0.0,6.641345
-0.2,0.05900073,0.0,10.34017
0.2,0.0,0.0,7.703483
0.0,0.0,0.0,8.816215
-0.2,0.09533679,0.0,10.07545
0.2,0.0,0.0,16.4921
-0.6895188999999999,0.0,0.0,7.875169
-0.2,0.0,0.0,11.60316
0.2,0.4427561,0.0,28.01043
-0.2,0.1457341,0.0,7.717345
0.129987,0.0,0.0,10.06437
-0.2,0.8519908,0.0,10.18906
0.0,0.0,0.0,15.14009
-0.2,0.07230628,0.0,8.218976
-0.2,1.0,0.0,12.87805
0.2,0.0,0.0,9.92711
0.2,0.0,0.0,13.47782
0.13136907,0.0,0.0,7.414797
-0.2,0.8281569,0.0,27.50146
0.3238251,0.0,0.0,9.430374
0.2,0.0,0.0,12.30006
0.2,0.3131733,0.0,7.860235
0.2,0.4085283,0.0,12.45069
-0.0,0.0,0.0,15.31913
-0.7406808,0.0,0.0,9.578409
0.30172289999999996,0.0,0.0,6.724266
-0.2,0.1638751,0.0,6.633736
-0.2,0.1335028,0.0,11.75424
-0.21183389999999996,0.0,0.0,9.759859
-0.2,0.0,0.0,7.622101
0.122268,0.0,0.0,9.418675
0.5834328,0.0,0.0,9.182529
-0.2,0.0,0.0,9.628716
0.1887603,0.0,0.0,10.96088
-0.2,1.0,0.0,21.57726
0.2,0.0,0.0,11.53709
0.2,0.0,0.0,5.186892
-0.2,0.0,0.0,16.71627
-0.2,0.02653491,0.0,14.44468
-0.2,0.0,0.0,8.415038e-05
-0.053983400000000015,0.0,0.0,13.07539
-0.2,0.0,0.0,8.828174
-0.6833269,0.0,0.0,5.868303
-0.2,0.0,0.0,13.72308
0.2,0.0,0.0,14.06369
-0.2,0.0,0.0,7.682821
-0.2,0.5286781,0.0,15.46386
0.2,0.0,0.0,10.58418
-0.2,0.0,0.0,8.816649
-0.27676697,0.0,0.0,7.171015
0.2,0.4842389,0.0,10.14165
0.2,0.2497441,0.0,13.52072
-0.0,0.0,0.0,8.416298
-0.2,0.66813,0.0,8.474729
0.1876132,0.0,0.0,9.81906
0.0,0.1216257,0.0,9.413572
-0.2,0.0,0.0,7.669286
0.2,0.0,0.0,10.96413
0.2,0.2679065,0.0,7.973166
-0.2,0.0,0.0,7.133967
0.15186257,0.0,0.0,8.314226
0.2,0.0,0.0,17.43113
0.2,0.3077731,0.0,14.9082
-0.2,0.0,0.0,24.78217
0.2,0.0,0.0,9.944866
0.3834328,0.0,0.0,9.182529
-0.2,0.3301799,0.0,13.96762
0.2,0.0,0.0,6.962152
-0.4400218,0.0,0.0,5.502356
0.2,0.0,0.0,17.72666
-0.2,0.0,0.0,15.1356
-0.2,0.0,0.0,14.56338
0.2,0.0,0.0,8.700104
-0.2,0.0,0.0,9.192719
-0.2,0.208143,0.0,10.57114
0.2,0.0,0.0,13.01601
0.2,0.0,0.0,9.563401
0.2,0.114555,0.0,7.747374
-0.27260311000000004,0.0,0.0,8.07377
0.2,0.0,0.0,11.81254
0.2,0.0,0.0,8.614138
-0.2702824,0.0,0.0,7.600605
0.11025970000000002,0.0,0.0,10.70947
0.2,0.0,0.1716778,26.52507
0.2,0.0,0.0,7.597535
0.0,0.0,0.0,10.79169
0.2,0.0,0.0,11.81668
-0.2,0.0,0.0,10.94174
0.3995782,0.0,0.0,10.20686
